00/0        SLDT Rv/Mw
C5         (v)pextrw Gd,Udq,Ib (66),(v1) (opdsize)
C6         (v)shufps Vps,Hps,Wps,Ib
C6         (v)shufpd Vpd,Hpd,Wpd,Ib (66) (opdsize)
C7/1        CMPXCHG8B/16B Mq/Mdq
C7/3        xrstors
C7/4        xsavec
C7/5        xsaves
C8          BSWAP RAX/EAX/R08/R08D
C9          BSWAP RCX/ECX/R09/R09D
CA          BSWAP RDX/EDX/R10/R10D
CB          BSWAP RBX/EBX/R11/R11D
CC          BSWAP RSP/ESP/R12/R12D
CD          BSWAP RBP/EBP/R13/R13D
CE          BSWAP RSI/ESI/R14/R14D
CF          BSWAP RDI/EDI/R15/R15D
D0         (v)addsubpd Vpd,Hpd,Wpd (66) (opdsize)
D0         (v)addsubps Vps,Hps,Wps (F2) (REPNE)
D1          psrlw Pq,Qq
D1         (v)psrlw Vx,Hx,Wx (66),(v1) (opdsize)
D2          psrld Pq,Qq
D2         (v)psrld Vx,Hx,Wx (66),(v1) (opdsize)
D3          psrlq Pq,Qq
D3         (v)psrlq Vx,Hx,Wx (66),(v1) (opdsize)
D4          paddq Pq,Qq
D4         (v)paddq Vx,Hx,Wx (66),(v1) (opdsize)
D5          pmullw Pq,Qq
D5         (v)pmullw Vx,Hx,Wx (66),(v1) (opdsize)
D6         (v)movq Wq,Vq (66),(v1) (opdsize)
D6          movq2dq Vdq,Nq (F3) (REP)
D6          movdq2q Pq,Uq (F2) (REPNE)
D7          pmovmskb Gd,Nq
D7         (v)pmovmskb Gd,Ux (66),(v1) (opdsize)
D8          psubusb Pq,Qq
D8         (v)psubusb Vx,Hx,Wx (66),(v1) (opdsize)
D9          psubusw Pq,Qq
D9         (v)psubusw Vx,Hx,Wx (66),(v1) (opdsize)
DA          pminub Pq,Qq
DA         (v)pminub Vx,Hx,Wx (66),(v1) (opdsize)
DB          pand Pq,Qq
DB         (v)pand Vx,Hx,Wx (66),(v1) (opdsize)
DC          paddusb Pq,Qq
DC         (v)paddusb Vx,Hx,Wx (66),(v1) (opdsize)
DD          paddusw Pq,Qq
DD         (v)paddusw Vx,Hx,Wx (66),(v1) (opdsize)
DE          pmaxub Pq,Qq
DE         (v)pmaxub Vx,Hx,Wx (66),(v1) (opdsize)
DF          pandn Pq,Qq
DF         (v)pandn Vx,Hx,Wx (66),(v1) (opdsize)
E0          pavgb Pq,Qq
E0         (v)pavgb Vx,Hx,Wx (66),(v1) (opdsize)
E1          psraw Pq,Qq
E1         (v)psraw Vx,Hx,Wx (66),(v1) (opdsize)
E2          psrad Pq,Qq
E2         (v)psrad Vx,Hx,Wx (66),(v1) (opdsize)
E3          pavgw Pq,Qq
E3         (v)pavgw Vx,Hx,Wx (66),(v1) (opdsize)
E4          pmulhuw Pq,Qq
E4         (v)pmulhuw Vx,Hx,Wx (66),(v1) (opdsize)
E5          pmulhw Pq,Qq
E5         (v)pmulhw Vx,Hx,Wx (66),(v1) (opdsize)
E6         (v)cvttpd2dq Vx,Wpd (66) (opdsize)
E6         (v)cvtdq2pd Vx,Wdq (F3) (REP)
E6         (v)cvtpd2dq Vx,Wpd (F2) (REPNE)
E7          movntq Mq,Pq
E7         (v)movntdq Mx,Vx (66) (opdsize)
E8          psubsb Pq,Qq
E8         (v)psubsb Vx,Hx,Wx (66),(v1) (opdsize)
E9          psubsw Pq,Qq
E9         (v)psubsw Vx,Hx,Wx (66),(v1) (opdsize)
EA          pminsw Pq,Qq
EA         (v)pminsw Vx,Hx,Wx (66),(v1) (opdsize)
EB          por Pq,Qq
EB         (v)por Vx,Hx,Wx (66),(v1) (opdsize)
EC          paddsb Pq,Qq
EC         (v)paddsb Vx,Hx,Wx (66),(v1) (opdsize)
ED          paddsw Pq,Qq
ED         (v)paddsw Vx,Hx,Wx (66),(v1) (opdsize)
EE          pmaxsw Pq,Qq
EE         (v)pmaxsw Vx,Hx,Wx (66),(v1) (opdsize)
EF          pxor Pq,Qq
EF         (v)pxor Vx,Hx,Wx (66),(v1) (opdsize)
F0         (v)lddqu Vx,Mx (F2) (REPNE)
F1          psllw Pq,Qq
F1         (v)psllw Vx,Hx,Wx (66),(v1) (opdsize)
F2          pslld Pq,Qq
F2         (v)pslld Vx,Hx,Wx (66),(v1) (opdsize)
F3          psllq Pq,Qq
F3         (v)psllq Vx,Hx,Wx (66),(v1) (opdsize)
F4          pmuludq Pq,Qq
F4         (v)pmuludq Vx,Hx,Wx (66),(v1) (opdsize)
F5          pmaddwd Pq,Qq
F5         (v)pmaddwd Vx,Hx,Wx (66),(v1) (opdsize)
F6          psadbw Pq,Qq
F6         (v)psadbw Vx,Hx,Wx (66),(v1) (opdsize)
F7          maskmovq Pq,Nq
F7         (v)maskmovdqu Vx,Ux (66),(v1) (opdsize)
F8          psubb Pq,Qq
F8         (v)psubb Vx,Hx,Wx (66),(v1) (opdsize)
F9          psubw Pq,Qq
F9         (v)psubw Vx,Hx,Wx (66),(v1) (opdsize)
FA          psubd Pq,Qq
FA         (v)psubd Vx,Hx,Wx (66),(v1) (opdsize)
FB          psubq Pq,Qq
FB         (v)psubq Vx,Hx,Wx (66),(v1) (opdsize)
FC          paddb Pq,Qq
FC         (v)paddb Vx,Hx,Wx (66),(v1) (opdsize)
FD          paddw Pq,Qq
FD         (v)paddw Vx,Hx,Wx (66),(v1) (opdsize)
FE          paddd Pq,Qq
FE         (v)paddd Vx,Hx,Wx (66),(v1) (opdsize)
FF          UD0
